hours,price
00h - 01h:,0.34239 €/kWh
01h - 02h:,0.3308 €/kWh
02h - 03h:,0.32736 €/kWh
03h - 04h:,0.31959 €/kWh
04h - 05h:,0.32315 €/kWh
05h - 06h:,0.33429 €/kWh
06h - 07h:,0.3586 €/kWh
07h - 08h:,0.36828 €/kWh
08h - 09h:,0.41715 €/kWh
09h - 10h:,0.38583 €/kWh
10h - 11h:,0.42456 €/kWh
11h - 12h:,0.38963 €/kWh
12h - 13h:,0.3808 €/kWh
13h - 14h:,0.33468 €/kWh
14h - 15h:,0.30078 €/kWh
15h - 16h:,0.2807 €/kWh
16h - 17h:,0.27604 €/kWh
17h - 18h:,0.27592 €/kWh
18h - 19h:,0.32589 €/kWh
19h - 20h:,0.3569 €/kWh
20h - 21h:,0.41515 €/kWh
21h - 22h:,0.40974 €/kWh
22h - 23h:,0.35098 €/kWh
23h - 24h:,0.33724 €/kWh
